games, numTurns, whoWon, yourStrat, CardsInDeck
411,19,player 1,opp Guess,0
412,6,player 2,opp Guess,26
413,6,player 2,opp Guess,26
414,7,player 2,opp Guess,24
415,7,player 2,opp Guess,24
416,4,player 2,opp Guess,30
417,10,player 1,opp Guess,18
418,15,player 2,opp Guess,8
419,11,player 1,opp Guess,16
420,11,player 1,opp Guess,16
421,4,player 1,opp Guess,30
422,4,player 1,opp Guess,30
423,6,player 1,opp Guess,26
424,3,player 1,opp Guess,32
425,19,player 1,opp Guess,0
426,19,player 1,opp Guess,0
427,9,player 2,opp Guess,20
428,9,player 2,opp Guess,20
429,17,player 1,opp Guess,4
430,6,player 1,opp Guess,26
431,12,player 1,opp Guess,14
432,3,player 1,opp Guess,32
433,7,player 1,opp Guess,24
434,3,player 1,opp Guess,32
435,7,player 1,opp Guess,24
436,3,player 1,opp Guess,32
437,19,player 2,opp Guess,0
438,19,player 2,opp Guess,0
439,19,player 2,opp Guess,0
440,19,player 2,opp Guess,0
441,11,player 2,opp Guess,16
442,11,player 2,opp Guess,16
443,6,player 2,opp Guess,26
444,16,player 2,opp Guess,6
445,15,player 2,opp Guess,8
446,19,player 1,opp Guess,0
447,19,player 1,opp Guess,0
448,19,player 1,opp Guess,0
449,19,player 1,opp Guess,0
450,6,player 2,opp Guess,26
451,19,player 1,opp Guess,0
452,19,player 1,opp Guess,0
453,9,player 2,opp Guess,20
454,13,player 1,opp Guess,12
455,9,player 1,opp Guess,20
456,19,player 1,opp Guess,0
457,19,player 2,opp Guess,0
458,19,player 2,opp Guess,0
459,6,player 1,opp Guess,26
460,19,player 2,opp Guess,0
461,18,player 1,opp Guess,2
462,19,player 2,opp Guess,0
463,17,player 2,opp Guess,4
464,9,player 1,opp Guess,20
465,14,player 1,opp Guess,10
466,3,player 1,opp Guess,32
467,6,player 1,opp Guess,26
468,11,player 2,opp Guess,16
469,7,player 2,opp Guess,24
470,19,player 2,opp Guess,0
471,19,player 2,opp Guess,0
472,9,player 2,opp Guess,20
473,19,player 2,opp Guess,0
474,8,player 2,opp Guess,22
475,6,player 1,opp Guess,26
476,19,player 1,opp Guess,0
477,19,player 1,opp Guess,0
478,19,player 2,opp Guess,0
479,19,player 2,opp Guess,0
480,11,player 1,opp Guess,16
481,6,player 1,opp Guess,26
482,15,player 2,opp Guess,8
483,19,player 2,opp Guess,0
484,19,player 2,opp Guess,0
485,4,player 2,opp Guess,30
486,5,player 2,opp Guess,28
487,5,player 2,opp Guess,28
488,8,player 2,opp Guess,22
489,6,player 2,opp Guess,26
490,19,player 2,opp Guess,0
491,9,player 2,opp Guess,20
492,19,player 2,opp Guess,0
493,6,player 2,opp Guess,26
494,7,player 2,opp Guess,24
495,15,player 2,opp Guess,8
496,10,player 2,opp Guess,18
497,19,player 1,opp Guess,0
498,9,player 1,opp Guess,20
499,19,player 2,opp Guess,0
500,19,player 2,opp Guess,0
501,17,player 2,opp Guess,4
502,19,player 2,opp Guess,0
503,8,player 1,opp Guess,22
504,8,player 1,opp Guess,22
505,19,player 1,opp Guess,0
506,7,player 2,opp Guess,24
507,8,player 1,opp Guess,22
508,19,player 1,opp Guess,0
509,9,player 1,opp Guess,20
510,15,player 2,opp Guess,8
511,13,player 2,opp Guess,12
512,13,player 2,opp Guess,12
513,8,player 1,opp Guess,22
514,19,player 2,opp Guess,0
515,19,player 2,opp Guess,0
516,19,player 1,opp Guess,0
517,12,player 2,opp Guess,14
518,19,player 2,opp Guess,0
519,19,player 2,opp Guess,0
520,16,player 1,opp Guess,6
521,19,player 1,opp Guess,0
522,19,player 1,opp Guess,0
523,19,player 2,opp Guess,0
524,19,player 2,opp Guess,0
525,19,player 2,opp Guess,0
